candidate_id,company_id,converted_from_candidate,department,hire_date,id,name,still_employed,tenure_months,title
CAND-8bc78e81-5a30-4528-8b59-95622227219f,CMP-3,True,HR,2026-08-28,EMP-9136f1f8-f310-46dc-a202-bee65cb5e69c,Colleen Brock,True,44,Mid HR Manager
CAND-c359810a-71a6-414c-9f3c-44dc5ef787b8,CMP-9,True,Sales,2026-09-19,EMP-73b911d8-12f5-431a-9a52-d2ee22bf18f5,Mary Travis,False,3,Senior Sales Engineer
CAND-51d08109-fc90-4838-9874-1408f7b217c7,CMP-4,True,Engineering,2026-08-28,EMP-90494583-ec86-4890-97b0-0bdc566e3cbe,Stephanie Simmons,True,6,Mid Engineering Engineer
CAND-51d08109-fc90-4838-9874-1408f7b217c7,CMP-4,True,Marketing,2026-09-13,EMP-4efc8248-e10b-4a47-bfae-b7487781321e,Stephanie Simmons,True,42,Entry Marketing Engineer
CAND-3da06476-f778-4676-b50d-112e8164ceec,CMP-4,True,Engineering,2026-08-28,EMP-74fd33d1-84f2-4d0f-b947-4bfacdd0b4d4,Destiny Strickland,True,55,Director Engineering Specialist
CAND-fd98fe33-6498-4be9-a999-bbef518b2f21,CMP-9,True,Marketing,2026-09-25,EMP-35145890-84c8-4c46-a359-5fa4b4adaf89,Cynthia Rogers,False,43,Lead Marketing Manager
CAND-b6d1f6bb-f48f-409c-89a2-24410ac4de85,CMP-4,True,Finance,2026-09-19,EMP-fa585b27-8ce3-47c3-b6ea-b3a001539221,Jason Daniels,False,42,Entry Finance Specialist
CAND-8a2db2e6-3bfd-48a6-b05f-ddf566fadca0,CMP-9,True,Design,2026-09-23,EMP-24f43c62-b523-40de-9b87-d29c4cfd0fc1,Ms. Susan Vargas,False,2,Senior Design Specialist
CAND-2253e706-87ad-4b26-8eaa-58416aa0426d,CMP-3,True,Engineering,2026-09-23,EMP-ea45ba41-6589-4da1-b45a-f934b42a2d93,David Murphy,False,19,Entry Engineering Engineer
CAND-0e5d8c6a-79db-4862-8d7d-d772608e2f5c,CMP-9,True,Engineering,2026-09-17,EMP-9647ff9f-3508-407a-b622-d84204022b3c,Tiffany Gonzalez,False,5,Lead Engineering Engineer
CAND-ca5e151b-23d3-4d4c-bd5f-f093c16f9bcc,CMP-5,True,Marketing,2026-09-12,EMP-12d15585-b68e-47fa-bf17-5534cc4d5819,Kristy Robinson,False,10,Mid Marketing Manager
CAND-ca5e151b-23d3-4d4c-bd5f-f093c16f9bcc,CMP-1,True,Engineering,2026-09-13,EMP-2b64777c-6177-4771-af70-de702b69c95e,Kristy Robinson,False,20,Director Engineering Manager
CAND-6e3cdd4f-55b1-45e4-b0b2-7304545cd88d,CMP-3,True,Engineering,2026-09-26,EMP-3df51967-4d86-40bd-a222-4f9623a13e20,Carla Collins,True,46,Mid Engineering Engineer
CAND-34e50699-c8eb-427a-a3a4-e70e9dbc15c0,CMP-5,True,Marketing,2026-09-05,EMP-efb3b939-b1d8-4887-8739-cc7bbff30c8d,Debra Morton,False,32,Senior Marketing Manager
CAND-34e50699-c8eb-427a-a3a4-e70e9dbc15c0,CMP-4,True,Product,2026-09-06,EMP-231ae7c7-4c9b-4f5c-a188-7eaf5e1885c3,Debra Morton,True,42,Senior Product Manager
CAND-d1e91691-a320-4116-a22d-f6a48163b6ce,CMP-1,True,Design,2026-08-28,EMP-837217e0-6570-46ea-9b11-f51ff7e9101d,Jared Sanchez,False,17,Entry Design Manager
CAND-e9a53368-5812-4eb2-bc13-f47ac80c2195,CMP-3,True,HR,2026-09-07,EMP-303014d0-f2c8-4743-9027-e7702460d0d2,Michael Nelson,False,12,Mid HR Manager
CAND-99e4704c-2c56-40cd-a5ba-247221df5609,CMP-4,True,Marketing,2026-09-09,EMP-c3f62136-846d-4a3b-a661-c42630385dd7,Austin Vasquez,False,1,Entry Marketing Manager
CAND-99e4704c-2c56-40cd-a5ba-247221df5609,CMP-4,True,Product,2026-10-03,EMP-4b46ef33-95e7-4614-82b4-02815f269466,Austin Vasquez,True,31,Entry Product Manager
CAND-40b374f8-8c1a-42c7-9fa3-ed1f61584f88,CMP-0,True,Sales,2026-09-09,EMP-03438b64-00b3-400f-bc08-899054a27051,Christine Clark,True,54,Lead Sales Specialist
CAND-170fa87b-f30e-44fe-a62e-55597e7d9a19,CMP-7,True,Product,2026-09-08,EMP-d6aa5382-e144-4b45-af39-0a9ddcd1c413,Jason Norris,False,32,Lead Product Analyst
CAND-b9493906-939f-44eb-be5e-215ec47cc30b,CMP-9,True,Sales,2026-09-07,EMP-673d2920-60ee-44ba-a4b0-718e8ced4707,Jordan Mcdaniel,True,44,Mid Sales Engineer
CAND-b9493906-939f-44eb-be5e-215ec47cc30b,CMP-7,True,Sales,2026-09-12,EMP-7e0f60b2-2a06-4609-a599-bd3c0bb81d38,Jordan Mcdaniel,False,7,Entry Sales Specialist
CAND-0be7728e-6a1a-4a9d-81d4-8a101b968925,CMP-2,True,Finance,2026-09-22,EMP-c8c85ad6-82cb-4dc7-bcd3-0e99638e1388,Maria Kerr,True,57,Senior Finance Specialist
CAND-c7eab19b-de6c-436b-9edd-218233fd862d,CMP-5,True,HR,2026-09-05,EMP-9d9887bc-a018-4791-aeb0-93fec60ea4d5,Laura Roberts,False,37,Lead HR Manager
CAND-c7eab19b-de6c-436b-9edd-218233fd862d,CMP-3,True,Engineering,2026-09-25,EMP-89aa4293-34a0-4cd4-9a9a-f29ed5ee2587,Laura Roberts,True,48,Director Engineering Specialist
CAND-bf2b43b4-22e9-4527-b849-1ecc889157fd,CMP-2,True,Finance,2026-09-17,EMP-113eaf84-abf3-4096-8a68-369c12b99a50,Michael Valencia,True,13,Mid Finance Analyst
CAND-13ed280a-d5e1-4d1f-a5f2-2dfba741104b,CMP-9,True,Sales,2026-09-13,EMP-cfa9026b-6a24-4f46-baf7-fa21a93e7b5b,Erin Steele,True,38,Entry Sales Analyst
CAND-2baa43c9-7b4e-4ecd-9e07-87b178ae8d5d,CMP-2,True,Finance,2026-10-05,EMP-17db4c2f-1e15-4e2f-809c-2ebe80da2ed7,Kimberly Gutierrez,True,58,Mid Finance Analyst
CAND-dae13586-2358-455c-bc5c-3cd865ebd4dc,CMP-2,True,Design,2026-09-03,EMP-9d7d1756-3b4e-49f5-b2cd-9a0a840c5cb0,Christina Dunn,True,24,Senior Design Manager
