department,id,name,role
Sales,INTV-5ec42e08-29a3-42e9-9d65-a441d58842de,Allen Robinson,Sales Staff
Sales,INTV-4458a885-ab90-49a4-b5a2-40ae5af30553,Alyssa Gonzalez,Sales Staff
Sales,INTV-a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Kimberly Robinson,Sales Staff
Finance,INTV-0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Sean Blake,Finance Staff
Finance,INTV-ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Jay Ramirez,Finance Staff
Engineering,INTV-98ae4334-6c12-4ce8-ae34-0454cac5b68c,James Howard,Engineering Staff
Product,INTV-a4161293-c4c2-42e3-844e-a7c8c0398710,Renee Blair,Product Staff
Product,INTV-6f4cc69a-4b22-4308-9c8e-aee95715bd6f,Valerie Gray,Product Staff
Product,INTV-f42d47cc-00d4-4f59-b427-3ca3287d06ca,Sandra Montgomery,Product Staff
Engineering,INTV-a18ff6b6-b535-406e-922c-9a5601d74256,Jesse Flowers,Engineering Staff
Design,INTV-922fe15a-e1e3-4b63-af7d-dc76b92da22b,Daniel Adams,Design Staff
Marketing,INTV-747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,Kimberly Sanchez,Marketing Staff
Marketing,INTV-f512c4c3-b253-4218-ac4a-37ea490617f2,Devin Schaefer,Marketing Staff
Sales,INTV-19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Patty Perez,Sales Staff
Sales,INTV-8181a8cc-3691-47eb-89a2-688b12c136e0,Ethan Adams,Sales Staff
Sales,INTV-5958a499-eeea-463e-a1e8-ac6843e42caf,Tommy Walter,Sales Staff
Finance,INTV-1a84a51a-a9d3-47c7-ae87-905e4ca415ea,Jonathan Wilkerson,Finance Staff
Finance,INTV-43b409ef-2260-470f-a0cc-edc5f05db76e,Brenda Taylor,Finance Staff
Finance,INTV-be0f051b-1b66-45a9-a3c4-36571d8cbbac,Kimberly Burgess,Finance Staff
HR,INTV-2790cebd-bfdd-43d9-9ee3-ac2af94d6204,Zachary Hicks,HR Staff
HR,INTV-dd56cc94-3c9a-414c-ae0c-aeb5ecfedb99,Anthony Rodriguez,HR Staff
Product,INTV-3a43b2ba-df0f-46cb-8b9b-c326d20eac17,Jennifer Brown,Product Staff
Product,INTV-3170f437-a8f7-4f5a-860e-df5b39118497,Zachary Rice,Product Staff
Finance,INTV-6ba25efe-311c-4eb6-a095-eef68dedf9fb,Nathan Cortez,Finance Staff
Finance,INTV-ad64b56c-610f-4a3f-b0bb-ac67aa38d0a1,Pamela Romero,Finance Staff
Marketing,INTV-a2086977-a9f2-4336-83f4-a9a948a639d0,Sarah Romero,Marketing Staff
Design,INTV-c40c5d91-46fd-4062-a33d-c7afd701410d,Paula Moreno,Design Staff
HR,INTV-8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab,Theresa Miller,HR Staff
HR,INTV-3875394c-e5d6-46e6-9a6e-c2f5ccc42903,Mr. Philip Cannon,HR Staff
Engineering,INTV-f510ab53-c7fe-439f-9190-f938a66fd7f7,Joseph Obrien,Engineering Staff
Marketing,INTV-770c7798-37cc-463b-b2a0-345990604f62,Nicole Vaughn,Marketing Staff
Sales,INTV-8186a576-11a7-4609-9edd-bbbfa9597663,Marie Kim DDS,Sales Staff
Sales,INTV-d97dc9cd-033d-4bce-975a-ed2ca5c5650c,Danny Morgan,Sales Staff
Finance,INTV-8e485223-46b9-4991-a14e-b70db380c73a,Benjamin Welch,Finance Staff
Finance,INTV-30e912f2-f2b4-4abf-8441-aefd0299436a,Taylor Heath,Finance Staff
Finance,INTV-680bac63-b856-4035-bdc9-829015eabb27,David Caldwell,Finance Staff
Design,INTV-98c7472a-864e-4a13-829c-fc0cfa02eaec,Matthew Gomez,Design Staff
Design,INTV-d52721e7-19bc-443e-bb02-bebb48729a4d,Scott Brown,Design Staff
Design,INTV-5c62b3a2-3a3c-463e-8bd6-cee631b1b099,Maria Brown,Design Staff
Finance,INTV-0d270659-f72a-4a9b-af32-751e5738811d,Ashley Lee,Finance Staff
Finance,INTV-7a4c75d4-dc99-404c-b0e9-8b3b40a26c60,Brenda White,Finance Staff
HR,INTV-6a8a616f-c3b2-40d0-8edd-dfcd1e52d770,Thomas Ramos,HR Staff
Product,INTV-ebd34616-91b7-4d8e-9301-6989bfbbb17f,Kimberly Smith,Product Staff
Product,INTV-77fc9703-1fd5-4423-b06c-5c5649e2623d,Paul Young,Product Staff
Product,INTV-670acc5c-b321-4f21-8dd8-eb85b04d3376,John Hancock,Product Staff
Engineering,INTV-1ac70ec0-ab8d-4eb4-9230-dfbd5553b2fe,William Baker,Engineering Staff
Engineering,INTV-6961929e-546e-435a-a92b-d156db946570,Jordan Henderson,Engineering Staff
Marketing,INTV-d7665cda-fe04-4059-b985-fb6217dc8eff,Brittney Phillips,Marketing Staff
Marketing,INTV-f27292b6-7621-42ed-9d0b-c9bde9b5c5cf,Lauren Daniels,Marketing Staff
Product,INTV-f6febc0e-7ecd-4baf-a6f0-5fcffb16e5db,Megan Young,Product Staff
Product,INTV-f72169bb-8096-4718-a051-acef097a1e10,Steve Sanchez,Product Staff
Product,INTV-19b17e80-dea4-4e17-94fd-9ad39716108e,Lisa Barnes,Product Staff
Design,INTV-5bc440f1-4b1a-469b-8e5d-d462cbd00ef2,Christina Moran,Design Staff
Design,INTV-3e83b91f-2544-4fe0-ae41-7d475ff595ea,James Powers,Design Staff
Marketing,INTV-bea29dfe-c73f-4e1b-af90-8e3cdd750e98,Alexandra Howell,Marketing Staff
Marketing,INTV-9b3d74bd-e91e-414e-8c8e-29e3f93e08d5,Ariel Medina,Marketing Staff
Marketing,INTV-e776b886-d534-4e1d-bf29-84f5bec39a37,Brandi Bailey,Marketing Staff
HR,INTV-2a1f955a-d499-4a99-85c4-5a3ee9da484a,Christopher Bass,HR Staff
HR,INTV-f1b64afe-d31e-4f1a-a9ff-1cae41c8ca8c,Lisa Archer,HR Staff
HR,INTV-4b8e63d4-ce76-47ad-b7a6-7b947b5a611a,Aimee Montoya,HR Staff
Sales,INTV-d2e82f38-a2a9-44d8-902e-fde5a5cc8bf7,Shawn Baker,Sales Staff
Sales,INTV-8b621d41-5e09-49ee-af88-bdecfb1e143b,Sarah Wagner,Sales Staff
Engineering,INTV-a93b12cd-1c24-420e-acab-d7e7cc6b66e5,Anna Henderson,Engineering Staff
Engineering,INTV-03cde2e3-21bd-4b41-8699-8731ddcf8766,Aaron Wise,Engineering Staff
Design,INTV-7d824264-1ba3-42e7-afa4-15e56d204496,Kristen Patterson,Design Staff
Design,INTV-12d0498d-718d-4d05-a8e2-2743b65feea9,Benjamin Ware,Design Staff
Sales,INTV-aa53c19c-dfa4-4b9f-9a85-6750692ac139,Amanda Howard,Sales Staff
Marketing,INTV-07d924ce-f8c8-4fae-a217-8f84bdb025ff,Justin Baxter,Marketing Staff
